optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_197031_20170105_20200905_02_T1,25.33087851729111,2017-01-05 10:30:39.676,S1A_IW_GRDH_1SDV_20170106T060058_20170106T060123_014707_017EF2_9E38
LC08_L1TP_198031_20170112_20200905_02_T1,0.0,2017-01-12 10:36:48.886,S1A_IW_GRDH_1SDV_20170113T055300_20170113T055325_014809_018206_50C7
LC08_L1TP_197031_20170206_20200905_02_T1,0.0,2017-02-06 10:30:27.288,S1A_IW_GRDH_1SDV_20170206T055259_20170206T055324_015159_018CD3_8414
LC08_L1TP_197031_20170222_20200905_02_T1,0.0,2017-02-22 10:30:21.794,S1A_IW_GRDH_1SDV_20170223T060057_20170223T060122_015407_019494_5C8F
LC08_L1TP_198031_20170301_20200905_02_T1,0.0,2017-03-01 10:36:29.760,S1A_IW_GRDH_1SDV_20170302T055259_20170302T055324_015509_01979D_094E
LC08_L1TP_197031_20170326_20200904_02_T1,0.0,2017-03-26 10:30:04.412,S1A_IW_GRDH_1SDV_20170326T055259_20170326T055324_015859_01A21E_1AC9
LC08_L1TP_198031_20170402_20200904_02_T1,0.0,2017-04-02 10:36:12.565,S1A_IW_GRDH_1SDV_20170401T174634_20170401T174659_015954_01A4E9_FC8D
LC08_L1TP_197031_20170411_20200904_02_T1,0.0,2017-04-11 10:29:57.307,S1A_IW_GRDH_1SDV_20170412T060058_20170412T060123_016107_01A991_4E94
LC08_L1TP_198031_20170418_20200904_02_T1,94.13262143668145,2017-04-18 10:36:03.924,S1A_IW_GRDH_1SDV_20170419T055300_20170419T055325_016209_01ACB6_20A9
LC08_L1TP_197031_20170513_20200904_02_T1,0.0,2017-05-13 10:29:52.239,S1A_IW_GRDH_1SDV_20170513T055302_20170513T055327_016559_01B74F_B655
LC08_L1TP_198031_20170520_20200904_02_T1,6.935837245696414,2017-05-20 10:36:07.942,S1A_IW_GRDH_1SDV_20170519T174637_20170519T174702_016654_01BA3E_73FE
LC08_L1TP_197031_20170529_20200903_02_T1,96.32256282794856,2017-05-29 10:30:02.543,S1A_IW_GRDH_1SDV_20170530T060103_20170530T060128_016807_01BEF0_35ED
LC08_L1TP_198031_20170605_20200903_02_T1,96.32256282794856,2017-06-05 10:36:16.808,S1A_IW_GRDH_1SDV_20170606T055255_20170606T055320_016909_01C228_FA5D
LC08_L1TP_197031_20170630_20200903_02_T1,0.0,2017-06-30 10:30:14.240,S1A_IW_GRDH_1SDV_20170630T055256_20170630T055321_017259_01CCCF_AEB8
LC08_L1TP_198031_20170707_20200903_02_T1,71.51578753567165,2017-07-07 10:36:26.274,S1A_IW_GRDH_1SDV_20170706T174631_20170706T174656_017354_01CFAC_C3F0
LC08_L1TP_197031_20170716_20200903_02_T1,8.687962195832936,2017-07-16 10:30:17.762,S1A_IW_GRDH_1SDV_20170717T060106_20170717T060131_017507_01D452_864E
LC08_L1TP_198031_20170723_20200903_02_T1,85.65405504924996,2017-07-23 10:36:32.320,S1A_IW_GRDH_1SDV_20170724T055257_20170724T055322_017609_01D76D_3A02
LC08_L1TP_197031_20170817_20200903_02_T1,0.0,2017-08-17 10:30:31.168,S1A_IW_GRDH_1SDV_20170817T055259_20170817T055324_017959_01E213_58AB
LC08_L1TP_198031_20170824_20200903_02_T1,95.78225781705532,2017-08-24 10:36:43.644,S1A_IW_GRDH_1SDV_20170823T174634_20170823T174659_018054_01E503_1236
LC08_L1TP_197031_20170902_20200903_02_T1,0.0,2017-09-02 10:30:34.088,S1A_IW_GRDH_1SDV_20170903T060108_20170903T060133_018207_01E997_5D3E
LC08_L1TP_197031_20171004_20200903_02_T1,16.013992451440647,2017-10-04 10:30:42.833,S1A_IW_GRDH_1SDV_20171004T055300_20171004T055325_018659_01F77E_9A1F
LC08_L1TP_198031_20171011_20200903_02_T1,0.1994538034306054,2017-10-11 10:36:55.374,S1A_IW_GRDH_1SDV_20171010T174635_20171010T174700_018754_01FA6C_2E28
LC08_L1TP_197031_20171020_20200902_02_T1,28.893062076160668,2017-10-20 10:30:45.791,S1A_IW_GRDH_1SDV_20171021T060109_20171021T060134_018907_01FF1B_F229
LC08_L1TP_198031_20171027_20200902_02_T1,0.0,2017-10-27 10:36:56.731,S1A_IW_GRDH_1SDV_20171028T055301_20171028T055326_019009_020227_9CF5
LC08_L1TP_197031_20171121_20200902_02_T1,0.0938967136150234,2017-11-21 10:30:40.292,S1A_IW_GRDH_1SDV_20171121T055300_20171121T055325_019359_020D10_71E5
